Weight(g),Moisture(%),Hardness,Magnetic,Biodegradable,WasteType
30,3,1,0,0,Plastic
190,2,8,1,0,Metal
78,78,1,0,1,Organic
79,2,7,0,0,Glass
48,3,3,0,0,Paper
12,4,1,0,0,Plastic
249,5,8,1,0,Metal
105,61,3,0,1,Organic
79,5,5,0,0,Glass
49,5,3,0,0,Paper
34,4,3,0,0,Plastic
228,3,9,1,0,Metal
79,61,2,0,1,Organic
51,2,6,0,0,Glass
38,5,4,0,0,Paper
29,5,1,0,0,Plastic
237,5,8,1,0,Metal
129,67,1,0,1,Organic
80,4,7,0,0,Glass
54,5,5,0,0,Paper
16,8,1,0,0,Plastic
131,2,9,1,0,Metal
75,82,1,0,1,Organic
51,5,6,0,0,Glass
49,5,3,0,0,Paper
21,5,1,0,0,Plastic
291,3,10,1,0,Metal
129,76,3,0,1,Organic
49,6,7,0,0,Glass
40,4,3,0,0,Paper
24,6,2,0,0,Plastic
283,5,8,1,0,Metal
113,65,1,0,1,Organic
59,2,6,0,0,Glass
47,5,3,0,0,Paper
16,7,3,0,0,Plastic
200,2,10,1,0,Metal
101,67,3,0,1,Organic
74,3,6,0,0,Glass
39,4,5,0,0,Paper
27,7,2,0,0,Plastic
269,4,10,1,0,Metal
95,66,1,0,1,Organic
53,6,6,0,0,Glass
37,3,3,0,0,Paper
14,8,1,0,0,Plastic
294,4,10,1,0,Metal
74,67,2,0,1,Organic
74,6,6,0,0,Glass
52,3,5,0,0,Paper
33,3,3,0,0,Plastic
257,3,10,1,0,Metal
91,58,2,0,1,Organic
72,3,6,0,0,Glass
35,5,5,0,0,Paper
34,4,3,0,0,Plastic
147,3,10,1,0,Metal
102,74,1,0,1,Organic
54,4,5,0,0,Glass
52,3,5,0,0,Paper
20,6,1,0,0,Plastic
148,3,9,1,0,Metal
85,56,1,0,1,Organic
50,2,7,0,0,Glass
50,3,5,0,0,Paper
34,4,1,0,0,Plastic
288,4,10,1,0,Metal
80,63,3,0,1,Organic
72,3,7,0,0,Glass
59,4,5,0,0,Paper
19,6,3,0,0,Plastic
286,3,9,1,0,Metal
127,71,2,0,1,Organic
52,3,5,0,0,Glass
37,5,3,0,0,Paper
28,7,1,0,0,Plastic
270,2,8,1,0,Metal
74,77,3,0,1,Organic
48,3,5,0,0,Glass
36,5,3,0,0,Paper
26,4,2,0,0,Plastic
291,4,8,1,0,Metal
104,59,3,0,1,Organic
75,3,6,0,0,Glass
60,6,3,0,0,Paper
13,3,3,0,0,Plastic
230,3,9,1,0,Metal
96,69,3,0,1,Organic
48,2,5,0,0,Glass
47,5,3,0,0,Paper
17,4,1,0,0,Plastic
257,4,8,1,0,Metal
97,60,2,0,1,Organic
74,3,5,0,0,Glass
49,3,3,0,0,Paper
30,7,1,0,0,Plastic
143,2,8,1,0,Metal
96,70,2,0,1,Organic
58,5,5,0,0,Glass
40,6,3,0,0,Paper
22,5,2,0,0,Plastic
193,4,10,1,0,Metal
116,80,3,0,1,Organic
76,3,5,0,0,Glass
44,4,3,0,0,Paper
28,8,3,0,0,Plastic
135,3,8,1,0,Metal
73,73,2,0,1,Organic
77,6,5,0,0,Glass
36,3,3,0,0,Paper
12,7,1,0,0,Plastic
292,2,9,1,0,Metal
77,85,3,0,1,Organic
60,6,7,0,0,Glass
